moive,sentence,score
봄날,좀 지루해서 보다가 잠들었네요ㅜ,6
녹색 광선,구시대적인 영화... 혼자 있는걸 잘못되었다 생각하며 외로운 감정을 죄라고 여김 진정한 사랑을 좇는듯하더니 결국 마지막 선택은 기차플랫폼에서 눈맞은 사람임 연애주의에 미쳐있는 사람들을 보고싶으면 보세요,6
구르믈 버서난 달처럼,서자 연기 너무 못해서 보기 불편,2
공동경비구역 JSA,공화국의 초코파이맛은 언제쯤,7
레드: 더 레전드,솔직히 이병헌이 안나왔으면 그냥그래,5
포커스,이 또한 윌스미스의 위엄이겠지요,6
여고괴담 여섯번째 이야기 : 모교,귀신을뺐다면 좋았을 넘버링시리즈,6
앵커,특별하진 않지만 몰입해서 긴장감 느끼며 볼 수 있는 영화,7
파도가 지나간 자리,설정 자체가 너무 납득 안가던데...애기를 가질 생각은 안하고.. 임신 했으면 관리를 잘 하든가...스토리  너무 어설프고 아이와 행복했던 장면들도 연출해 줘야 더 슬픈것인데 그런부분도 미흡하고...평점  너무 높다,4
닥터 스트레인지: 대혼돈의 멀티버스,닥스1이 더 재밌습니다 개인적으로 너무 아쉬웠습니다,5
공기살인,메시지는 좋고 그런데 결말이 너무 희망고문이다,7
민스미트 작전,"긴박감 넘치는 두뇌 싸움 이야기인 줄 알았는데, 기대와는 좀 달랐던...",7
롤러코스터,하정우씨 감독은 아직 아닌거 같네요..,3
닥터 스트레인지: 대혼돈의 멀티버스,닥스1이 더 재미났었다. 닥스의 매력인 미러디맨션 액션신이 없어서 가장 큰 불만이었음. 근데 멀티버스 이동신 등 몇몇 장면과 연기자들의 연기가 좋아서 볼만했다!!,7
아논,"이 영화의 배경. 2022년. 세계는 알 수 없는 테러와 범죄로 뒤덮히고 어지럽게 된다. 그래서 유엔은 비밀리에 프로젝트를 하나 만드는데 모든 사람들에게 칩을 의식하여 모든걸 감시할 수 있는 시스템을 만든다. 첨엔 단순히 칩이었지만 시간이 흐를수록 다른 사람과의 네트워킹이 가능해지고 다른 사람과 전화라는 기계가 없어도 전화가 가능해지는 등 기술의 발달이 있었다. 그리고 익명에 의한 범죄나 테러는 모두 사라졌고 세상은 평화를 되찾게 된다. 그리고 시간은 흘러, 이제는 다른 사람의 서버에 들어가 그 사람의 과거까지 들춰볼 수 있게 된다. 그리고 과거의 기억까지 서로 주고 받게 된다. 테러는 더 이상 벌어지지 않는 세상. 하지만 어느 누구도 프라이버시는 존재하지 않는다. 단지 상대를 보는 것만으로도 상대의 과거까지 알아낼 수 있는 사회다. 그리고 거기서 익명으로 불법적인 기억을 지워주는 직업이 등장하는데 그게 이 영화에 나오는 주인공 아만다의 직업이다. 그녀는 불법적인 일을 하기 때문에 일단 자신의 과거부터 다 지워야했다. 그래서 자신을 익명으로 만들고 서버를 따로 만들어 자신을 숨겨야 했다. 그걸 찾으려면 알고리즘이 필요한데 그건 아무도 모른다. 그렇게 이야기는 시작 된다. 어느누구도 감시에서 벗어 날 수 없다. 익명만이 그것이 가능하다. 그래서 제목이 아논이다. 아만다사이프러스의 알몸을 볼 수 있다.",7
범죄도시,욕설 난무하는 전형적인 조폭물... 이게 그렇게까지 뜰만한 영화는 아닌데 그냥 마동석빨인가,5
데드캠핑 더라이브,평점알바가 진짜있네 헛 웃음 나오는 영화다 ,2
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100,1
닥터 스트레인지: 대혼돈의 멀티버스,약간 액션이 좀 촌스러움,7
아이즈 온 미 : 더 무비,high rank not anymore,1
배드 가이즈,다음 내용이 예측되는 내용이지만 ost와액션씬은 신났습니다~,7
빅 트러블,병맛B급 중국영화,6
뷰티 인사이드,이진욱.박서준.서강준.이동욱.유연석.. 으아. 언니들의 야릇한 꿈이네..한효주는 전생에 뭘 했길래.,7
아직 사랑하고 있습니까?,장가현이 이영화찍고 이혼했다고 해서다시 봤는데 애딸린유부녀가 노출신있는 영화찍었다고 뭐라하는데 김인권도 애가셋인 유부남인데 뭐가 문제인지.베드신이 엄청 야한것도 아니고 가슴노출정도인데 이걸로 이혼까지 한다는게말이 안됨.,6
닥터 스트레인지: 대혼돈의 멀티버스,이제 내가 그리던 마블은 끝이구나 싶습니다,2
데스위시 더 게임,진짜 재미없음.. 돈아까움,1
이터널스,아이고 왜 이렇게밖에 못 만들었을까 싶은..마블 영화 맞나 보는내내 의심을 안 품을수가 없었네요 ,6
카운트다운, 영화에서 나오는 자신이 언제 죽는지★ 사망타이머 ★구글플레이에도 나와 있음 ★사망 타이머★ 또는 ★사망타임(어른용),6
닥터 스트레인지: 대혼돈의 멀티버스,마즐 시리즈 중 닥스에 바라는 액션과 영상미가 있는데 그 그림이 안 나옴. 앞으로도 이런 방향이라면 닥스에게 이별을 고할 것이다...,6
칠드런 오브 맨,영화 내용이 이해하기 어렵고 재미도없고 지루하기만 하네요,5
닥터 스트레인지: 대혼돈의 멀티버스,이것은 히어로물인가 호러 좀비물인가ㅋㅋ,4
82년생 김지영,"최대한 객관적으로 바라보고자 한다영화에서 나오는 김지영이 겪는 일들 여성들이 겪을 수 있는 일들이고 분명 불합리하다고 생각한다하지만 영화는 지나치게 편파적으로 여성들이 느낄 수 있는 불합리함만 자극적이게 표현했다몇가지 예를 들겠다1.   지영의 옛직장 동료가 지영 집에 방문해서 남편 사진을 보더니 왜 지영은 이리 퍼석퍼석한데 남편만 때깔 좋냐고 한다너무 비현실적이다 남편이 공유다정유미는 최대한 수척해보이게 노메이크업으로 출연시켜놓고 남편이 공유라서 때깔 좋다고 한다저 나이대 애 아빠들 중에 공유처럼 잘 관리되어 있는 사람 있나?현실엔 배때기에 비계덩어리 두르고 있고 맨날 수염 덥수룩하게 나있는 아저씨가 대부분이다남자라고 그 나이대에 벌써 배때기에 비계 두르고 싶지 않다부장님이 퇴근 시간대에 갑자기 삼겹살에 소주 한 잔 하자고 할 때 고과에 비례하는 월급 생각해서 어쩔 수 없이 따라가서 먹다 보니 생긴 비계덩어리다2.   남성이 보내는 직장 생활을 너무 편안한것처럼 표현했다.공유는 주말에 회사 워크샵 가는데 웃으면서 가는게 말이 되나?주말 뺏길 생각에 회사에 불질러버리고 싶을 마음 아닐까?3.   “직장생활 GOOD 가정생활 BAD” 라는 흑백논리모든 여성이 커리어 욕심이 있는 것이 아니다 마찬가지로 모든 남성도 커리어 욕심이 있는 것도 아니다어느 여성에겐 직장 생활 때려치고 가정에 충실하는게 더 행복할 수도 있고 어느 남성에겐 직장생활이 지옥처럼 싫은데 돈을 더 버는 사람이 직장생활을 하는게 맞기 때문에 어쩔 수 없이 직장생활을 해야하는 것일 수도 있다“비교 우위”란 개념이 배제되어 있다이 사회는 남성과 여성 모두에게 불합하다금수저 물고 태어나서 형편이 특별히 더 좋지 않는 한 어차피 남녀 모두 이 사회에서 이리 치이고 저리 치이면서 살아야한다어느 한쪽이 더 불합리하다고 단정지어 말 할 수 없다“마치 불알을 맞는게 더 아픈가 애를 낳는게 더 아픈가”와 비슷한 문제이다, 둘다 경험할 수 없기에 아무도 모른다",4
공기살인,하지마제발 보지마이거,1
극장판 루팡 3세 VS 명탐정 코난,유미란 표정 개 짱나네 ㅋㅋ 지가 뭔데 저딴 표정 짓고 그럼? ,2
닥터 스트레인지: 대혼돈의 멀티버스,클래식에서 한 발만 더 가면 올드한건데...아슬아슬했다;;;,7
신비한 동물들과 덤블도어의 비밀,신비한 동물들이 더많이 나왔어야함재미는 그럭저럭,6
문폴,요즘은 중국이 손 안대는 영화가 없네.과하게 말이 안됨. ㅎ,6
붉은 바캉스 검은 웨딩 2,음 뭘 말하려는지 모르겠고 쓸데없는 잘못된 변태 집착남의 범죄? 개연성도 이상하고 초반 스토리 시작도 좀 엉성하고 엄마가 결혼할거라던 남자를 갑자기 집으로? 한번도 같이 안봤는데 쫌 ㅋㅋ무료로 올라온거 집에서 보다가 하도 노잼이라 평점1 주려고 원정옴 연기도 좀 ㅎ 어쩌다 조연들이랑 거의 이름도 모르는사람들 나오고,1
미미와 철수의 청춘 스케치,영화에 별 내용은 없었지만 강수연의 아름답고 풋풋한 모습과 80년대 길거리 모습이 추억을 불러 일으킨다. 강수연 배우의 명복을 빕니다.,7
이터널스,어벤져스 얘기할때가 가장 집중되네요..,4
배드 가이즈,"영상미는 좋았는데 내용이 중간에 너무 지루했어요 잠깐 졸뻔했고, 6세 아이도 언제끝나냐고 물어봤어요  신나는 음악이 나와서 그때 잠깨고 봤는데 25000원 주고 볼 영화는 아닌듯...",3
배드 가이즈,"예상 가능한 스토리, 예상 가능한 클리셰입니다. 어린이를 동반한 관객들에게 추천드립니다. 코믹스스러운 연출은 훌륭했습니다. 개인적으로 드림웍스를 응원하지만..",6
닥터 스트레인지: 대혼돈의 멀티버스,스토리도 연출도 별로인데 배우들 연기가 다 했다. 마블이 기존 마블 특유의 감을 잃은 듯 하다.. 로키랑 완다비전까지 챙겨봤는데..스파이더맨도 참고 봤는데.. 이젠 손절,2
신비한 동물들과 덤블도어의 비밀,뭐랄까? 이젠 타성에 젖어서 보는 느낌이네...,6
허셀프,집을 짓기위한 이유가 너무 절박해서 공감가고 마음이 아팠지만 아무래도 영화니까 현실적이면서도 비현실적이네요 마지막이 허무하기도 하구요...,7
닥터 스트레인지: 대혼돈의 멀티버스,오디션+이블데드4,6
바람이 분다,보지도 않고 무지성 비난하는데 주인공 일행이 일본이 근대 국가라고?비웃는 대사나 세계를 적으로 돌려 일본은 파멸한다는게 제국주의 미화임?ㅋㅋㅋㅋ진짜 반일정신병 국가 이와 논외로 재미는 없음,7
닥터 스트레인지: 대혼돈의 멀티버스,스토리에 개연성이 없는 느낌.. 영상미는 있었네요,7
엑스맨: 아포칼립스,빌런이 세기만 하고 별 매력이 없음,1
말임씨를 부탁해,현실적인 한계로 채우지 못하는 자리를 대안가족으로 대체하여 지금의 상황을 곰곰이 생각하게 한다.,6
특송,형식적인 기성품,5
닥터 스트레인지: 대혼돈의 멀티버스,"B급 SF호러물.차베즈 액션연기 너무 구리고, 연기자들 CG는 너무 티가 나고 정말 실망적임. 그외에 다른 CG들은 그나마 볼만함.설명적인 부붇들 지루해서 졸림..",4
스펜서,"우울증 걸리겠다. 보는내내 우울했고, 배경음악에 음산했다.",4
닥터 스트레인지: 대혼돈의 멀티버스,영화 집중도가 엄청 낮아 졸다가 나옴. 내 돈 아까비~,2
클레멘타인,high rank not anymore,1
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",high rank not anymore,1
닥터 스트레인지: 대혼돈의 멀티버스,최애 닥터스트레인지와 완다를 한순간 나락으로 꽂아버리는 영화. 지금까지 그나마 잘 쌓아온 마블 세계관 밸런스붕괴는 물론이요 스토리 자체도 어색한 부분이 많고 클리셰에서 헤어나올수가 없는 영화임. 마블팬이고 스트레인지영화라 기대하고 갔는데 거짓말안하고 영화보면서 10번 넘게 나가고싶었음;; 스토리 수준 무엇? 12세 관람가라고 했는데 딱 초등학생 위한 영화같음. 내 닥터스트레인지랑 완다 돌려내 ㅡㅡ ,1
우는 남자,동건아 연기하면서 딴생각 좀 하지마 제발,1
