movie,sentence,score
닥터 스트레인지: 대혼돈의 멀티버스,"나는 너무 재밌었는데 ~~~~컴버배치 응원해요~~~~ &amp;gt;&amp;lt; 최고 최고 최고 최고 최고 완다도 최고 최고연기를 연기하는 멋진분들 ♥ (단, 공포스러운 거 잔인한 거 싫어하는 사람들은각오를하고 보세요ㅎㅎ 난 좋아해서 ㅋㅋ.. ) ",10
내일의 기억,"스토리, 연출력, 연기 모두  관객수가 아쉬울뿐",10
닥터 스트레인지: 대혼돈의 멀티버스,역시 마블은 믿고보는 영화 첨부터끝까지 몰입도가 엄청났음 화려한 cg에 멀티버스라는 흥미로운 내용으로 너무 재밌게 잘봤음 완다랑 처음보는 여주도 매력있고 ㅎㅎ,10
닥터 스트레인지: 대혼돈의 멀티버스,오랜만에 마블영화 강추합니다!,10
닥터 스트레인지: 대혼돈의 멀티버스,개졸잼 평점왜일케 낮음? ㅎㅎ잼난데,10
"광해, 왕이 된 남자",무슨말이 필요한가이병헌이 씹어먹었다,10
극장판 귀멸의 칼날: 무한열차편,"원작을 뛰어넘는 애니메이션, 완결까지 완성도 유지해주길",10
야차,설경구 연기 굿굿 재미써용,10
백사2: 청사의 시련,와우!!!!중국애니가 이렇게 발전했을 줄이야!!!넷플릭스에서 우연히봤는데 정말 재밌게봄,10
블레이드 러너 2049,미래에 살고있지만 미치도록 외롭고 가슴 먹먹한 영화..,10
닥터 스트레인지: 대혼돈의 멀티버스,역시 닥터는 믿고본다~,10
우연과 상상,2시간이 순식간에 지나간다,10
신의 한 수: 귀수편,어떤부분에서는 1편보다 더 퀄리티 있고 재밌었움 몇번 더 보게하는 영화 ,10
동방삼협,셋다 삼십대 초반의 한창 물오를때네.양자경 미모도 눈부시고..,10
버닝,유아인 연기력은 정말 ....최고였다,10
늑대들,"평점이 하두 낮아서 일부러 찾아봤는데,전규환 감독의 영화를 여러편 봤기에 감독 특유에 영상과 스토리가 있어 나름 재밋게 봤습니다현재 상영하고 있는 한국판 르와르영화랑 비교할땐, 좀더 현실적이고 군더더기 없는 그런....항상 응원합니다",10
닥터 스트레인지: 대혼돈의 멀티버스,완다비전과 왓이프 관람후 마블 코믹스의 이해도가 합쳐졌다면최고의 영화가 될 듯,10
벡실,재밌네요. 전 시간가는 줄 모르고 봤습니다. 그리고 그 당시 기술력이라고는 믿기지 않는 엄청난 CG와 그래픽...2022년인 지금 보니까... 뭔가 서서히 벡실의 내용대로 진행되고 있는듯한 느낌...정말 무시무시하면서 소름이 돋네요..이건 정말 예견되고 계획된 걸까요... 앞으로 어떻게 진행될지가 정말 궁금하면서 무섭네요.,10
신비한 동물들과 덤블도어의 비밀,음...평점 왜이러죵 ㅠㅠ 저는 볼만했는데요...?,10
고장난 론,뻔하긴하지만 그래도 너무 재밌어요 감동이예요ㅠㅠ,10
중경삼림,"어릴때라 개봉할 때는 못봤거요. 01년생 조카가 보자고 해서 갔는데... 와~~~ 감탐이 나오는 영화입니다. 왕가위 감독님 존경합니다. 시대를 앞서가는 연출... 그리고, 배우님들 어쩜 다 예쁘고 잘생기셨는지... 넷플릭스 &amp; 왓챠에 90년대 홍콩영화 많더라구요. 다시 보려고 합니다.",10
태어나길 잘했어,내가 춘희 친구가 되어주고 싶다.. 나오는 인물들이 다 따뜻해서 힐링되는 영화!,10
블랙,언젠가 다시 볼 영화나는 미셸처럼 도전할 수 있을까,10
닥터 스트레인지: 대혼돈의 멀티버스,재밌어여 멀티버스의 시작,10
극장판 귀멸의 칼날: 무한열차편,렌고쿠 쿄쥬로 당신 유죄,10
닥터 스트레인지: 대혼돈의 멀티버스,졸라재밌음 영화가아닌 예술. 한번더 보러갈꺼임 1점테러한 작자들은 영화볼줄 모르는 미개인들인가??,10
어벤져스: 인피니티 워,아이어맨타노스죽이다가죽음,10
배드 가이즈,재밌어요 ㅠㅠㅠ!! 한국어 더빙이 영어 버전 보다 더 재밌더라구요 더빙 추천,10
닥터 스트레인지: 대혼돈의 멀티버스,완다비전을 봤지만 기억이 가물가물해서 관람하는데 이야기 구성을 이해하는데 힘들었음. 어려운영화... 영상미 돋보임. 그 초능력 교수나와서 좀 웃겼음.,10
화장실 어디에요?,조인성 열심히 살았었구나.. 그냥 쉽게 빡! 뜬 줄 알았는데 ㄷㄷ,10
공동경비구역 JSA,전쟁영화이자 반전영화.. 가까이 있지만그 어느나라보다 멀리 있는 나라.. 연기 스토리 연출  끝 없이 몰입을 하게 해주는 영화다.,10
실버라이닝 플레이북,"이 영화는 조금 어려워요. 그래서 좋아요.  누구나 공감할 수 있는 쉽고,예쁘고, 눈물나는 영화가 아니라. 보는데 힘들어요. 너무 감정적이 되서. 그래서 다시 보려구요 ㅋ ㅋ ㅋ 이런 감정선 영화 좋아하시면 빌어먹을 세상따위도 추천해요. 약간 정신병 올 것 같은 영화들인데 너무 좋음",10
해바라기,해바라기라는 단어를들었을때뇌가 꽃보다 오태식을 먼저떠오르게만든 영화 ,10
닥터 스트레인지: 대혼돈의 멀티버스,진짜 재밋게봤어요 약간 무서웠지만스토리가대박 완다가 스트레인지보다여운을 더줬네요,10
장르만 로맨스,연기력.대사 굿관계의 시선에서 자유로워졌음,10
닥터 스트레인지: 대혼돈의 멀티버스,샘레이미가 마블을 만나면 이렇게 되는구나.세련된 조합이 너무 좋았음.,10
공기살인,어이없는 재판 결과도 알려줬으면 더 좋았을듯,10
사이비,와 뭐지.... 대작이네요,10
워터 릴리스,살면서 50번 다시 볼 듯,10
중경삼림,당장이라도 홍콩으로 날아가고 싶은 영화,10
드라이브,인생영화입니다. 십년이 지나도 계속 생각나는 스타일리시하고 고독한 영화.,10
