movie,sentence,score
닥터 스트레인지: 대혼돈의 멀티버스,"나는 너무 재밌었는데 ~~~~컴버배치 응원해요~~~~ &amp;gt;&amp;lt; 최고 최고 최고 최고 최고 완다도 최고 최고연기를 연기하는 멋진분들 ♥ (단, 공포스러운 거 잔인한 거 싫어하는 사람들은각오를하고 보세요ㅎㅎ 난 좋아해서 ㅋㅋ.. ) ",10
배드 가이즈,재밌고 가볍게 볼만했음!!!,9
닥터 스트레인지: 대혼돈의 멀티버스,재.미.있습니다. 화려한 CG.. 스토리는 전편이 더 좋네요^^ 그래도 믿고보는 마블... 컴버배치!,8
내일의 기억,"스토리, 연출력, 연기 모두  관객수가 아쉬울뿐",10
봄날,좀 지루해서 보다가 잠들었네요ㅜ,6
닥터 스트레인지: 대혼돈의 멀티버스,역시 마블은 믿고보는 영화 첨부터끝까지 몰입도가 엄청났음 화려한 cg에 멀티버스라는 흥미로운 내용으로 너무 재밌게 잘봤음 완다랑 처음보는 여주도 매력있고 ㅎㅎ,10
녹색 광선,구시대적인 영화... 혼자 있는걸 잘못되었다 생각하며 외로운 감정을 죄라고 여김 진정한 사랑을 좇는듯하더니 결국 마지막 선택은 기차플랫폼에서 눈맞은 사람임 연애주의에 미쳐있는 사람들을 보고싶으면 보세요,6
구르믈 버서난 달처럼,서자 연기 너무 못해서 보기 불편,2
공동경비구역 JSA,공화국의 초코파이맛은 언제쯤,7
레드: 더 레전드,솔직히 이병헌이 안나왔으면 그냥그래,5
포커스,이 또한 윌스미스의 위엄이겠지요,6
닥터 스트레인지: 대혼돈의 멀티버스,오랜만에 마블영화 강추합니다!,10
닥터 스트레인지: 대혼돈의 멀티버스,"특별관 포멧으로 볼 거리가 많았던 영화.닥스가 감성적으로 변했는데 그 전의 캐릭터성이 더 좋았던 터라 아쉬웠습니다.닥터 스트레인지 솔로 영화인데 닥스의 활약이 부족하게 느껴져서 아쉬웠어요. 솔로 영화가 없는 완다가 안쓰러운 건지, 본인 영화에서 덜 주인공 같았던 닥스가 안쓰러운건지...공포스럽진 않았는데 꽤 잔인한 장면은 많았고요. 기대보다 더 재미있지는 않았던 영화네요.",9
